iteration,norm,normB
332,5.051955914772504e-14,1.4036811260665356e-14
333,4.6868600541151475e-14,1.3004079597338936e-14
334,4.338604669324535e-14,1.2021216646752879e-14
335,4.0105347979670736e-14,1.1159933320306595e-14
336,3.712679852070531e-14,1.0305413864728837e-14
337,3.436337667040925e-14,9.606847864935124e-15
338,3.187953900749552e-14,8.809367850367856e-15
339,2.948931145617578e-14,8.199153947377252e-15
340,2.7289640911766742e-14,7.591302153711794e-15
341,2.530068564202018e-14,7.013337481448396e-15
342,2.335624749924014e-14,6.499858631158881e-15
343,2.1639847824791332e-14,6.004208496047791e-15
344,2.0089591860554046e-14,5.605526935861305e-15
345,1.8584519594616178e-14,5.1312545693725604e-15
346,1.7149949965617962e-14,4.764307414363507e-15
347,1.5862571272331132e-14,4.42597009065198e-15
348,1.47621502394906e-14,4.1200905972841295e-15
349,1.3643922927848819e-14,3.803248196912783e-15
350,1.2602703254153765e-14,3.4931249270044397e-15
351,1.1712746415993625e-14,3.2442278824216103e-15
352,1.0804467785450018e-14,2.9714349782627387e-15
353,9.963553836306449e-15,2.781830172663736e-15
354,9.255428488941706e-15,2.568778148353716e-15
355,8.598860315263412e-15,2.3830226675422547e-15
356,7.928915300367071e-15,2.2360471212887493e-15
357,7.400381584898053e-15,2.0253964504621837e-15
358,6.82566317401638e-15,1.915134717478395e-15
359,6.309446599760552e-15,1.7620965513674618e-15
360,5.774444729491845e-15,1.6029295489219142e-15
361,5.4035171626734366e-15,1.4900375968040556e-15
362,5.038741664088527e-15,1.383121908495358e-15
363,4.6138779152935205e-15,1.2854757455060163e-15
364,4.305469042701967e-15,1.1904197801952588e-15
365,3.939654404744444e-15,1.1131681482232356e-15
366,3.709246080399917e-15,1.0063070926704276e-15
367,3.321315538367985e-15,9.643814443178572e-16
368,3.2676886243827336e-15,8.917491093561516e-16
369,2.9003637552926853e-15,7.977012308035777e-16
370,2.7010998172987617e-15,7.407411431505095e-16
371,2.517219453378881e-15,7.176305923866031e-16
372,2.2933333033777e-15,6.422882484428202e-16
373,2.148803587198615e-15,5.701727585675814e-16
374,1.9868393137749987e-15,5.538958748184415e-16
375,1.8607195820289132e-15,5.284504157781969e-16
376,1.7393767023206204e-15,4.974756253865709e-16
377,1.56423489277272e-15,4.20934145542537e-16
378,1.4607597460075861e-15,4.1679597045044557e-16
379,1.3721783313651432e-15,3.8283582482295026e-16
380,1.2205305301062217e-15,3.347971367310914e-16
381,1.2137511947307843e-15,3.2009291313835888e-16
382,1.096142101642134e-15,2.992586547019258e-16
383,1.035551457355658e-15,2.914335439641036e-16
384,8.967496926214906e-16,2.474764074240494e-16
385,8.504799189490282e-16,2.5018537765542007e-16
386,8.042534251232339e-16,2.0955000055363631e-16
387,7.633414076770356e-16,1.9675159943996247e-16
388,6.27852482008371e-16,1.83060593881747e-16
389,6.626076008800303e-16,2.330476870336199e-16
390,6.853782468335723e-16,1.8463195827281384e-16
391,5.751412832905686e-16,1.6064700823479085e-16
392,5.182702313134714e-16,1.5202354861220294e-16
393,4.0951233181373006e-16,1.3383253895372864e-16
394,4.657950579727489e-16,9.205483015737869e-17
395,4.475283989743914e-16,1.2794688166302258e-16
396,3.986544012028517e-16,1.1527756336890508e-16
397,3.626650918877604e-16,1.0103182026100663e-16
398,3.939159405340803e-16,8.886119947416683e-17
399,2.6236796523995293e-16,7.473417450352271e-17
400,2.8894474054598513e-16,6.938893903907228e-17
401,2.7247862183321452e-16,1.0385185452638061e-16
402,2.6043393781024367e-16,1.2719202621569003e-16
403,2.642024288720391e-16,9.205483015737869e-17
404,2.4053928681432875e-16,8.886119947416683e-17
405,2.5125959031230223e-16,3.3993498887762956e-17
406,2.1907023257781838e-16,9.309503074677274e-17
407,2.0148945722934317e-16,1.0477500027681816e-16
408,2.4253890974208167e-16,5.887846720064156e-17
