iteration,norm,normB
205,1.0968309726408377e-10,8.23088781647148e-12
206,9.819272074611784e-11,7.368660125640185e-12
207,8.790645083903066e-11,6.596811180917837e-12
208,7.869712541799147e-11,5.905665248221983e-12
209,7.04531873991748e-11,5.286953778184047e-12
210,6.307262269473188e-11,4.733228280452929e-12
211,5.646507068226399e-11,4.237358234448786e-12
212,5.054992697196876e-11,3.793436492939793e-12
213,4.52544688123116e-11,3.3959289777466115e-12
214,4.0513777742994545e-11,3.040270249093519e-12
215,3.626966130752168e-11,2.7217837278736055e-12
216,3.246985806326018e-11,2.4366362725612695e-12
217,2.906852013870643e-11,2.181316787632947e-12
218,2.6023373708579443e-11,1.952875562298793e-12
219,2.3297236110873874e-11,1.7482503507405871e-12
220,2.085659488256598e-11,1.5651782838997853e-12
221,1.867156361675275e-11,1.4012829792545219e-12
222,1.6715546159948996e-11,1.2544304537413577e-12
223,1.496468291769809e-11,1.1228917386618372e-12
224,1.3396886602926972e-11,1.0053461306640023e-12
225,1.1993441726641282e-11,9.000534771684047e-13
226,1.0736926303503769e-11,8.05685207891038e-13
227,9.612308573849693e-12,7.213697944064157e-13
228,8.605284657739309e-12,6.456931958477306e-13
229,7.703888239408715e-12,5.781046102740229e-13
230,6.896704836513952e-12,5.176716495777183e-13
231,6.174232977027207e-12,4.632985500258986e-13
232,5.527399936236076e-12,4.147874982431647e-13
233,4.9485460419327576e-12,3.7132088303658964e-13
234,4.429960529027135e-12,3.3239708190543583e-13
235,3.965911856944306e-12,2.975613428718445e-13
236,3.550609500772422e-12,2.664321522657151e-13
237,3.1785741123848626e-12,2.3857631864356494e-13
238,2.8453818385779654e-12,2.1353748774067081e-13
239,2.547376530361832e-12,1.912662267178589e-13
240,2.2806047999834727e-12,1.7112457840609608e-13
241,2.04184480170851e-12,1.5320378558818205e-13
242,1.8276989282948686e-12,1.3715539965718992e-13
243,1.636292766273348e-12,1.2275427119740026e-13
244,1.464959918551658e-12,1.0996417297314454e-13
245,1.311531376328695e-12,9.839816329542362e-14
246,1.1739306520860871e-12,8.813522899496603e-14
247,1.0509915720198597e-12,7.886461124552989e-14
248,9.409451320001789e-13,7.065449762378607e-14
249,8.424309738919777e-13,6.319334004277272e-14
250,7.541341822322804e-13,5.6621915504027667e-14
251,6.750830867734879e-13,5.060732138740133e-14
252,6.044660679143298e-13,4.534534250137308e-14
253,5.412271107143417e-13,4.056511931080201e-14
254,4.84590089762993e-13,3.642099492639617e-14
255,4.334249212548772e-13,3.252304578290474e-14
256,3.882019255690587e-13,2.9111283190267815e-14
257,3.4774281766025937e-13,2.6073715372020094e-14
258,3.1103265639739623e-13,2.3339999059111186e-14
259,2.785416513819945e-13,2.0985482402233126e-14
260,2.4942804368631e-13,1.8692445502264853e-14
261,2.2332539535090598e-13,1.6632015210275204e-14
262,1.9990723810126249e-13,1.5143439257945786e-14
263,1.788545843869313e-13,1.347204433974884e-14
264,1.6018388204349577e-13,1.2024497018023388e-14
265,1.4340199590927592e-13,1.0743985445789474e-14
266,1.283847148741343e-13,9.690408803709413e-15
267,1.1479165900649152e-13,8.613490935660336e-15
268,1.029247036499437e-13,7.726863405810264e-15
269,9.19535192931114e-14,6.842481241556175e-15
270,8.256312327183034e-14,6.1752578992231815e-15
271,7.393121317984854e-14,5.526889976244105e-15
272,6.6092553017128e-14,4.964293666317619e-15
273,5.922614777291304e-14,4.4375962561315516e-15
274,5.28727296816371e-14,3.964805284920266e-15
275,4.74687104262482e-14,3.586342661844544e-15
276,4.242097051539164e-14,3.1414285553867956e-15
277,3.812207502909097e-14,2.9213979454291392e-15
278,3.387700113189486e-14,2.524537060921515e-15
279,3.059811228982016e-14,2.2990917915407685e-15
280,2.7085666825756323e-14,2.044290472162523e-15
281,2.4589213119571095e-14,1.9296644764156368e-15
282,2.1760797076763892e-14,1.5826155226951365e-15
283,1.961267698255552e-14,1.4060508970075193e-15
284,1.7551755364870106e-14,1.350305901120189e-15
285,1.5896799976696493e-14,1.1165368122018449e-15
286,1.3839521694922308e-14,1.0686797729075024e-15
287,1.2647155657993582e-14,9.061302795629822e-16
288,1.1041247422358804e-14,8.637738479808329e-16
289,1.0327582353416807e-14,6.787713834171536e-16
290,9.01115196319145e-15,7.382099395338164e-16
291,7.8955629814934e-15,6.835779054043168e-16
292,7.381527041542358e-15,4.736779903279368e-16
293,6.3229507067550426e-15,5.628636387720389e-16
294,5.726569443449756e-15,3.7226696947327204e-16
295,5.213335575228062e-15,3.695897472951119e-16
296,4.6879167985100725e-15,4.371503159461554e-16
